Dataset Name,Start Date,Status,End Date (BE),QC Overview,Counts QC overview,Done by,Summary slides,Comments
SRP225011,2026-04-27,Artemis completed,2026-04-30,Samples look good,Nothing to note,Nischal,https://docs.google.com/presentation/d/1aWoLy5rmf72Z2Wfsd4ECesl3gR4pMLJbMTqdmP6uoE4/edit?slide=id.g3e98e108bb7_2_420#slide=id.g3e98e108bb7_2_420,The study had to be subsampled because some chirp-seq data was present
SRP017329,NA,,NA,NA,NA,Nischal,https://docs.google.com/presentation/d/1aWoLy5rmf72Z2Wfsd4ECesl3gR4pMLJbMTqdmP6uoE4/edit?slide=id.g3e98e108bb7_2_460#slide=id.g3e98e108bb7_2_460,SOLiD data
SRP323876,2026-05-04,Artemis completed,2026-05-04,Nothing to note,Nothing to note,Nischal,https://docs.google.com/presentation/d/1aWoLy5rmf72Z2Wfsd4ECesl3gR4pMLJbMTqdmP6uoE4/edit?slide=id.g3e98e108bb7_2_475#slide=id.g3e98e108bb7_2_475,
SRP354339,2026-05-04,Artemis completed,2026-05-04,Nothing to note,Nothing to note,Nischal,https://docs.google.com/presentation/d/1aWoLy5rmf72Z2Wfsd4ECesl3gR4pMLJbMTqdmP6uoE4/edit?slide=id.g3e98e108bb7_2_525#slide=id.g3e98e108bb7_2_525,
SRP548420,2026-05-05,Artemis completed,2026-05-12,"Nothing to note, some samples are single ended",More variance in a single cell type,Nischal,https://docs.google.com/presentation/d/1aWoLy5rmf72Z2Wfsd4ECesl3gR4pMLJbMTqdmP6uoE4/edit?slide=id.g3e98e108bb7_2_928#slide=id.g3e98e108bb7_2_928,
SRP071203,2026-05-11,Artemis completed,2026-05-11,Nothing to note,Nothing to note,Nischal,https://docs.google.com/presentation/d/1aWoLy5rmf72Z2Wfsd4ECesl3gR4pMLJbMTqdmP6uoE4/edit?slide=id.g3e98e108bb7_2_624#slide=id.g3e98e108bb7_2_624,"No covariate information, unable to find DGEs in the paper, need to decide if this needs to be removed!"
SRP329466,2026-05-11,Artemis completed,2026-05-12,Removed 5 samples because of significant less number of reads mapped,Nothing to note,Nischal,https://docs.google.com/presentation/d/1aWoLy5rmf72Z2Wfsd4ECesl3gR4pMLJbMTqdmP6uoE4/edit?slide=id.g3e9fa34dab1_0_148#slide=id.g3e9fa34dab1_0_148,No disease vs control as there is knockdown vs control
SRP022028,2026-05-19,Artemis Error,2026-05-29,Nothing to note,"Artemis finished partially, not sure about the error",Nischal,,
SRP033725,2026-05-19,Artemis completed,2026-05-29,Nothing to note,Separate clusters for different instruments will have to rerun this after separating different types of instrument,,,
,,,,,,,,
,,,,,,,,
SRP022028,2026-05-19,Artemis running,2026-05-26,"The samples look fine, but all of them have low mapped reads",,,[Link to PPT Slide 11],
SRP033725,2026-05-19,Artemis running,2026-05-26,"Samples are from different instruments, ran after Timo suggested to run them combined",,,[Link to PPT Slide 25],
SRP043684,2026-05-25,Asked for Artemis upload,2026-05-29,,,,,
SRP050376,2026-05-20,Asked for Artemis upload,2026-05-29,,,,,
SRP050377,2026-05-20,Asked for Artemis upload,2026-05-29,,,,,
SRP061192,2025-05-29,BE error,,,,,,
SRP061682,2025-05-29,BE error,,,,,,
SRP073163,2025-05-29,BE error,,,,,,
SRP073382,2025-05-29,BE error,,,,,,
SRP074904,2025-05-29,BE error,,,,,,
SRP035524,2025-05-29,BE error,,,,,,
